period,age,value,measure,unit_type,source,details,prior_age,ldf,weight,interval
2009,95,1120353.596,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.1441,979272.5208,83-95
2009,107,1120360.194,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0,1120353.596,95-107
2009,119,1120361.8963,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0,1120360.194,107-119
2009,131,1120361.8963,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0,1120361.8963,119-131
2009,143,1135537.2963,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.0135,1120361.8963,131-143
2009,155,1169581.0893,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.03,1135537.2963,143-155
2009,167,1169581.0893,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0,1169581.0893,155-167
2009,179,1169581.0893,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.0,1169581.0893,167-179
2009,191,1169581.0893,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0,1169581.0893,179-191
2010,11,360030.44,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2010,23,730590.3643,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,2.0292,360030.44,11-23
2010,35,951322.0996,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.3021,730590.3643,23-35
2010,47,1105337.8676,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.1619,951322.0996,35-47
2010,59,1236185.7351,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.1184,1105337.8676,47-59
2010,71,1222899.712,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,0.9893,1236185.7351,59-71
2010,83,1271367.3004,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0396,1222899.712,71-83
2010,95,1272863.7268,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0012,1271367.3004,83-95
2010,107,1266822.057,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,0.9953,1272863.7268,95-107
2010,119,1267621.5366,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0006,1266822.057,107-119
2010,131,1268616.515,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0008,1267621.5366,119-131
2010,143,1268690.4126,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.0001,1268616.515,131-143
2010,155,1270339.9126,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0013,1268690.4126,143-155
2010,167,1270069.2627,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,0.9998,1270339.9126,155-167
2010,179,1277672.0721,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.006,1270069.2627,167-179
2011,11,454047.3346,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2011,23,886919.7606,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.9534,454047.3346,11-23
2011,35,1308017.8708,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.4748,886919.7606,23-35
2011,47,1510353.973,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.1547,1308017.8708,35-47
2011,59,1611539.0668,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.067,1510353.973,47-59
2011,71,1740504.8944,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.08,1611539.0668,59-71
2011,83,1836702.4148,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0553,1740504.8944,71-83
2011,95,1836817.6951,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0001,1836702.4148,83-95
2011,107,1862143.4583,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0138,1836817.6951,95-107
2011,119,1869290.4119,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0038,1862143.4583,107-119
2011,131,1921985.9327,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0282,1869290.4119,119-131
2011,143,1916081.5804,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,0.9969,1921985.9327,131-143
2011,155,1916081.5804,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0,1916081.5804,143-155
2011,167,1916081.5804,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0,1916081.5804,155-167
2012,11,335887.1044,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2012,23,682490.522,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,2.0319,335887.1044,11-23
2012,35,892010.9489,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.307,682490.522,23-35
2012,47,969399.2736,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.0868,892010.9489,35-47
2012,59,966369.472,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,0.9969,969399.2736,47-59
2012,71,974833.3864,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0088,966369.472,59-71
2012,83,978738.6634,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.004,974833.3864,71-83
2012,95,1029196.2086,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0516,978738.6634,83-95
2012,107,1086698.5968,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0559,1029196.2086,95-107
2012,119,1148149.3733,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0565,1086698.5968,107-119
2012,131,1156726.7733,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0075,1148149.3733,119-131
2012,143,1363753.3805,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.179,1156726.7733,131-143
2012,155,1363753.3805,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0,1363753.3805,143-155
2013,11,279096.7196,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2013,23,509656.1495,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.8261,279096.7196,11-23
2013,35,554121.1536,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.0872,509656.1495,23-35
2013,47,668048.8196,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.2056,554121.1536,35-47
2013,59,708646.3136,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.0608,668048.8196,47-59
2013,71,706804.6403,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,0.9974,708646.3136,59-71
2013,83,707153.1202,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0005,706804.6403,71-83
2013,95,707153.1202,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0,707153.1202,83-95
2013,107,708518.7743,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0019,707153.1202,95-107
2013,119,708518.7743,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0,708518.7743,107-119
2013,131,708529.9909,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0,708518.7743,119-131
2013,143,708529.9909,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.0,708529.9909,131-143
2014,11,579453.8975,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2014,23,791674.226,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.3662,579453.8975,11-23
2014,35,1117488.7444,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.4116,791674.226,23-35
2014,47,1292116.6908,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.1563,1117488.7444,35-47
2014,59,1310589.9427,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.0143,1292116.6908,47-59
2014,71,1355751.9331,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0345,1310589.9427,59-71
2014,83,1316935.0942,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,0.9714,1355751.9331,71-83
2014,95,1316935.0942,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0,1316935.0942,83-95
2014,107,1371038.6942,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0411,1316935.0942,95-107
2014,119,1399322.0241,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0206,1371038.6942,107-119
2014,131,1389603.6847,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,0.9931,1399322.0241,119-131
2015,11,538066.9,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2015,23,1068443.1712,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.9857,538066.9,11-23
2015,35,1605602.1864,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.5027,1068443.1712,23-35
2015,47,2133023.2398,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.3285,1605602.1864,35-47
2015,59,2358964.558,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.1059,2133023.2398,47-59
2015,71,2680270.1351,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.1362,2358964.558,59-71
2015,83,3055333.4055,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.1399,2680270.1351,71-83
2015,95,3076051.1255,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0068,3055333.4055,83-95
2015,107,3086205.1704,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0033,3076051.1255,95-107
2015,119,3382963.2581,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0962,3086205.1704,107-119
2016,11,687801.912,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2016,23,1285960.7568,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.8697,687801.912,11-23
2016,35,1733469.988,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.348,1285960.7568,23-35
2016,47,1884267.6211,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.087,1733469.988,35-47
2016,59,2152415.9626,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.1423,1884267.6211,47-59
2016,71,2220417.4843,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0316,2152415.9626,59-71
2016,83,2503620.4692,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.1275,2220417.4843,71-83
2016,95,2503024.6434,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,0.9998,2503620.4692,83-95
2016,107,2506323.6434,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0013,2503024.6434,95-107
2017,11,461326.8816,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2017,23,614872.6873,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.3328,461326.8816,11-23
2017,35,635999.2061,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.0344,614872.6873,23-35
2017,47,832770.2121,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.3094,635999.2061,35-47
2017,59,895289.4819,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.0751,832770.2121,47-59
2017,71,1014108.2981,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.1327,895289.4819,59-71
2017,83,1168952.8937,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.1527,1014108.2981,71-83
2017,95,1205811.8289,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0315,1168952.8937,83-95
2018,11,507983.8204,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2018,23,1168067.9171,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,2.2994,507983.8204,11-23
2018,35,1668858.2021,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.4287,1168067.9171,23-35
2018,47,2316819.635,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.3883,1668858.2021,35-47
2018,59,2303518.1066,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,0.9943,2316819.635,47-59
2018,71,2333675.3477,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0131,2303518.1066,59-71
2018,83,2395448.4233,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0265,2333675.3477,71-83
2019,11,407914.8312,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2019,23,1124607.0627,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,2.757,407914.8312,11-23
2019,35,1740054.5413,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.5473,1124607.0627,23-35
2019,47,2000563.0454,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.1497,1740054.5413,35-47
2019,59,2127378.6904,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.0634,2000563.0454,47-59
2019,71,2599882.8743,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.2221,2127378.6904,59-71
2020,11,522102.6035,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2020,23,931915.521,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.7849,522102.6035,11-23
2020,35,916291.8001,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,0.9832,931915.521,23-35
2020,47,969468.3019,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.058,916291.8001,35-47
2020,59,978899.5095,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.0097,969468.3019,47-59
2021,11,549457.067,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2021,23,800935.1524,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.4577,549457.067,11-23
2021,35,980316.7863,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.224,800935.1524,23-35
2021,47,1011313.2797,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.0316,980316.7863,35-47
2022,11,694623.0036,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2022,23,851655.8786,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.2261,694623.0036,11-23
2022,35,827416.1066,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,0.9715,851655.8786,23-35
2023,11,975000.3026,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2023,23,1651756.6744,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.6941,975000.3026,11-23
2024,11,890155.2218,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2001,11,326044.1288,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2001,23,1047371.7984,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,11,3.2124,326044.1288,11-23
2001,35,1545726.656,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.4758,1047371.7984,23-35
2001,47,1910965.544,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.2363,1545726.656,35-47
2001,59,2224220.1096,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.1639,1910965.544,47-59
2001,71,2283775.9933,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0268,2224220.1096,59-71
2001,83,2261772.9961,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,71,0.9904,2283775.9933,71-83
2001,95,2292314.1748,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0135,2261772.9961,83-95
2001,107,2314545.3704,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0097,2292314.1748,95-107
2001,119,2342384.5889,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.012,2314545.3704,107-119
2001,131,2398200.0136,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0238,2342384.5889,119-131
2001,143,2455705.4765,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.024,2398200.0136,131-143
2001,155,2495723.8508,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0163,2455705.4765,143-155
2001,167,2559116.709,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0254,2495723.8508,155-167
2001,179,2614164.5488,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.0215,2559116.709,167-179
2001,191,2694350.0428,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0307,2614164.5488,179-191
2001,203,2782412.2292,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.0327,2694350.0428,191-203
2001,215,2857646.1353,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,203,1.027,2782412.2292,203-215
2001,227,2967071.854,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,215,1.0383,2857646.1353,215-227
2001,239,2967071.854,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,227,1.0,2967071.854,227-239
2001,251,2989162.0372,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,239,1.0074,2967071.854,239-251
2001,263,3011385.8034,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,251,1.0074,2989162.0372,251-263
2001,275,3030381.2211,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,263,1.0063,3011385.8034,263-275
2001,287,3042294.6623,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,275,1.0039,3030381.2211,275-287
2002,11,357360.876,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2002,23,911072.9536,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,11,2.5494,357360.876,11-23
2002,35,1220370.0388,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.3395,911072.9536,23-35
2002,47,1318345.0604,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.0803,1220370.0388,35-47
2002,59,1483442.0638,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.1252,1318345.0604,47-59
2002,71,1621735.0882,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0932,1483442.0638,59-71
2002,83,1658328.8102,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0226,1621735.0882,71-83
2002,95,1687704.3334,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0177,1658328.8102,83-95
2002,107,1729579.7281,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0248,1687704.3334,95-107
2002,119,1750198.8871,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0119,1729579.7281,107-119
2002,131,1780997.2031,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0176,1750198.8871,119-131
2002,143,1814423.608,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.0188,1780997.2031,131-143
2002,155,1856047.2362,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0229,1814423.608,143-155
2002,167,1903391.04,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0255,1856047.2362,155-167
2002,179,1943619.046,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.0211,1903391.04,167-179
2002,191,1981569.4224,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0195,1943619.046,179-191
2002,203,2038029.9204,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.0285,1981569.4224,191-203
2002,215,2079212.9737,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,203,1.0202,2038029.9204,203-215
2002,227,2112239.6718,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,215,1.0159,2079212.9737,215-227
2002,239,2137830.2787,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,227,1.0121,2112239.6718,227-239
2002,251,2159388.4123,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,239,1.0101,2137830.2787,239-251
2002,263,2180051.1446,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,251,1.0096,2159388.4123,251-263
2002,275,2199646.2281,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,263,1.009,2180051.1446,263-275
2003,11,463735.1516,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2003,23,1151781.1896,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,11,2.4837,463735.1516,11-23
2003,35,1329665.9088,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.1544,1151781.1896,23-35
2003,47,1449345.2757,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.09,1329665.9088,35-47
2003,59,1676909.3456,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.157,1449345.2757,47-59
2003,71,1760385.6185,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0498,1676909.3456,59-71
2003,83,1763038.7139,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0015,1760385.6185,71-83
2003,95,1775400.1197,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.007,1763038.7139,83-95
2003,107,1772848.0925,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,95,0.9986,1775400.1197,95-107
2003,119,1777183.1896,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0024,1772848.0925,107-119
2003,131,1773811.5984,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,119,0.9981,1777183.1896,119-131
2003,143,1774200.3262,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.0002,1773811.5984,131-143
2003,155,1774330.2012,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0001,1774200.3262,143-155
2003,167,1774330.7158,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0,1774330.2012,155-167
2003,179,1774330.7158,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.0,1774330.7158,167-179
2003,191,1774330.1088,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0,1774330.7158,179-191
2003,203,1778091.5758,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.0021,1774330.1088,191-203
2003,215,1778091.5758,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,203,1.0,1778091.5758,203-215
2003,227,1778091.5758,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,215,1.0,1778091.5758,215-227
2003,239,1778091.5758,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,227,1.0,1778091.5758,227-239
2003,251,1778091.5758,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,239,1.0,1778091.5758,239-251
2003,263,1778091.5758,Paid Loss,Dollars,Paid 1 / ../raw-data/Triangle Examples 1.xlsx,,251,1.0,1778091.5758,251-263
